Moscow Russia,-4548,375
London UK,5981,-769
St Petersburg Russia,-654,2307
Berlin Germany,3285,3664
Madrid Spain,-2222,1389
Rome Italy,-5511,398
Kiev Kyiv city Ukraine 02000,733,-910
Paris France,4428,-4463
Bucharest Romania,1596,2302
Budapest Hungary,-2288,-442
Hamburg Germany,800,512
Minsk Belarus,2290,-1959
Warsaw Poland,-3282,4883
Belgrade Serbia,-210,4653
Vienna Austria,4428,3478
Kharkiv Kharkivs'ka oblast Ukraine 61000,-174,1702
Barcelona Spain,1869,-2737
Novosibirsk Novosibirskaya oblast Russia,-2094,-6006
Nizhny Novgorod Nizhegorodskaya oblast Russia,-1464,-25
Milan Italy,-6168,1487
Yekaterinburg Sverdlovskaya oblast Russia,-1160,-1492
Munich Germany,-2896,4595
Prague Czech Republic,314,-1081
Samara Samarskaya oblast Russia,1049,-46
Omsk Omsk Oblast Russia,2832,5706
Sofia Bulgaria,1429,5944
Dnipropetrovs'k Dnipropetrovs'ka oblast Ukraine 49000,5477,2912
Kazan Republic of Tatarstan Russia,-1730,3973
Ufa Republic of Bashkortostan Russia,-5439,3080
Chelyabinsk Chelyabinskaya oblast Russia,-1095,6114
Donets'k Donets'ka oblast Ukraine 83000,-4932,-513
Naples Italy,0,4
Birmingham West Midlands UK,-1593,-4815
Perm Perm Krai Russia,6045,-1861
Rostov-on-Don Rostovskaya oblast Russia,246,-536
Odesa Odes'ka oblast Ukraine 65000,2947,-2399
Volgograd Volgogradskaya oblast Russia,-5482,-3244
Cologne Germany,3269,2420
Turin Italy,952,5563
Voronezh Voronezh Oblast Russia,437,6245
Krasnoyarsk Krasnoyarsk Krai Russia,-1054,3150
Saratov Saratov Oblast Russia,-2815,5389
Zagreb Croatia,-5930,-1644
Zaporozhye Zaporiz'ka oblast Ukraine 69061,3488,2295
Łódź Poland,5219,3620
Marseille France,-2465,3193
Riga Latvia,1273,-2112
L'viv L'vivs'ka oblast Ukraine 79000,-1186,2348
Athens Greece,301,-1711
Salonika Greece,-737,-1038
Stockholm Sweden,1593,-1591
Kraków Poland,-581,-1130
Valencia Spain,5805,-2297
Amsterdam The Netherlands,996,-5392
Leeds West Yorkshire UK,-54,2446
Tolyatti Samarskaya oblast Russia,-355,330
Kryvyi Rih Dnipropetrovs'ka oblast Ukraine 50000,1777,-4145
Seville Spain,-1901,-561
Palermo Italy,1805,1840
Ulyanovsk Ulyanovskaya oblast Russia,1619,4760
Chisinau Moldova,-520,-331
Genoa Italy,-2315,1237
Izhevsk Udmurt Republic Russia,-1856,357
Frankfurt Germany,722,-663
Krasnodar Krasnodarskiy Kray Russia,1563,5304
Wrocław Poland,-1131,-4617
Glasgow UK,1790,-3608
Yaroslavl Yaroslavskaya oblast Russia,-3241,4675
Khabarovsk Khabarovsk Krai Russia,6205,71
Vladivostok Primorsky Krai Russia,-4638,62
Saragossa Spain,-2968,3565
Essen Germany,4437,3934
Rotterdam The Netherlands,-1450,-6178
Irkutsk Irkutsk Oblast Russia,-4760,-3215
Dortmund Germany,2180,5614
Stuttgart Germany,6163,-1528
Barnaul Altai Krai Russia,-230,408
Vilnius Lithuania,-6041,-896
Poznań Poland,-1857,-5031
Düsseldorf Germany,4495,2615
Novokuznetsk Kemerovo Oblast Russia,-1417,1606
Lisbon Portugal,-5164,-1536
