New York,1145,-3994
Los Angeles,-1688,-3142
Chicago,175,-4249
Houston,-295,-3148
Philadelphia,1047,-3954
Phoenix,-1319,-3254
San Antonio,-462,-3095
San Diego,-1571,-3063
Dallas,-408,-3424
San Jose,-2041,-3281
Austin,-432,-3181
Indianapolis,273,-4066
Jacksonville,466,-3183
San Francisco,-2092,-3294
Columbus,498,-4061
Charlotte,584,-3628
Fort Worth,-439,-3418
Detroit,519,-4258
El Paso,-949,-3217
Memphis,-3,-3667
Seattle,-2516,-3975
Denver,-1053,-3934
Washington,897,-3899
Boston,1393,-4060
Nashville-Davidson,211,-3753
Baltimore,934,-3924
Oklahoma City,-483,-3664
Louisville/Jefferson County,291,-3933
Portland,-2454,-3826
Las Vegas,-1597,-3403
Milwaukee,158,-4345
Albuquerque,-1046,-3509
Tucson,-1213,-3172
Fresno,-1892,-3308
Sacramento,-2075,-3387
Long Beach,-1673,-3121
Kansas City,-320,-4005
Mesa,-1304,-3256
Virginia Beach,925,-3707
Atlanta,346,-3522
Colorado Springs,-1021,-3862
Omaha,-438,-4177
Raleigh,733,-3651
Miami,471,-2728
Oakland,-2085,-3301
Minneapolis,-256,-4495
Tulsa,-392,-3738
Cleveland,609,-4177
Wichita,-497,-3863
Arlington,-426,-3418
New Orleans,-3,-3180
Bakersfield,-1789,-3225
Tampa,391,-2960
Aurora,-1042,-3936
Anaheim,-1660,-3134
Santa Ana,-1654,-3128
St. Louis,-13,-3977
Riverside,-1637,-3159
Corpus Christi,-382,-2946
Lexington-Fayette,376,-3907
Pittsburgh,717,-4069
Stockton,-2035,-3348
Cincinnati,384,-3999
St. Paul,-242,-4494
Toledo,475,-4208
Greensboro,664,-3691
Newark,1133,-3999
Plano,-404,-3448
Henderson,-1583,-3397
Lincoln,-484,-4136
Buffalo,836,-4254
Jersey City,1140,-3997
Chula Vista,-1564,-3059
Fort Wayne,354,-4171
Orlando,456,-3009
St. Petersburg,380,-2944
Chandler,-1301,-3247
Laredo,-485,-2904
Norfolk,905,-3711
Durham,720,-3674
Madison,45,-4350
Lubbock,-723,-3448
Irvine,-1647,-3125
Winston-Salem,636,-3699
Glendale,-1329,-3259
Garland,-400,-3438
Hialeah,469,-2738
Reno,-2016,-3518
Chesapeake,904,-3704
Gilbert,-1300,-3252
Baton Rouge,-64,-3228
Irving,-417,-3427
Scottsdale,-1312,-3261
North Las Vegas,-1597,-3406
Fremont,-2056,-3293
Boise City,-1941,-3943
Richmond,844,-3789
San Bernardino,-1638,-3174
Birmingham,196,-3512
Spokane,-2169,-4179
Rochester,935,-4256
Des Moines,-266,-4221
Modesto,-2003,-3335
Fayetteville,705,-3590
Tacoma,-2509,-3948
Oxnard,-1745,-3126
Fontana,-1645,-3169
Columbus,298,-3406
Montgomery,220,-3403
Moreno Valley,-1627,-3163
Shreveport,-224,-3418
Aurora,124,-4241
Yonkers,1157,-4010
Akron,617,-4140
Huntington Beach,-1657,-3117
Little Rock,-145,-3628
Augusta-Richmond County,488,-3479
Amarillo,-753,-3596
Glendale,-1692,-3149
